id,text,survey_item_code,survey_item_codes,raw_survey_item_code,source
IPIP_FULL_0041,Adapt easily to new situations.,H2000,['H2000'],H2000,IPIP Alphabetical Item List
IPIP_FULL_0042,Adjust easily.,H1070,['H1070'],H1070,IPIP Alphabetical Item List
IPIP_FULL_0043,Admire a really clever scam.,A108,['A108'],A108,IPIP Alphabetical Item List
IPIP_FULL_0044,"Admire people who own expensive homes, cars, or clothes.",M25,['M25'],M25,IPIP Alphabetical Item List
IPIP_FULL_0045,Admit mistakes.,H148,['H148'],H148,IPIP Alphabetical Item List
IPIP_FULL_0046,Admit when I am wrong.,V20,['V20'],V20,IPIP Alphabetical Item List
IPIP_FULL_0047,Agree to anything.,H1419,['H1419'],H1419,IPIP Alphabetical Item List
IPIP_FULL_0048,Allow others to make a fresh start.,V149,['V149'],V149,IPIP Alphabetical Item List
IPIP_FULL_0049,Allow others to walk all over me.,T43,['T43'],T43,IPIP Alphabetical Item List
IPIP_FULL_0050,Always admit it when I make a mistake.,P454,['P454'],P454,IPIP Alphabetical Item List
IPIP_FULL_0051,Always know what I am doing.,P427,['P427'],P427,IPIP Alphabetical Item List
IPIP_FULL_0052,Always know why I do things.,P433,['P433'],P433,IPIP Alphabetical Item List
IPIP_FULL_0053,Always need to know who my partner is with.,T50,['T50'],T50,IPIP Alphabetical Item List
IPIP_FULL_0054,Always seem to be losing things.,T51,['T51'],T51,IPIP Alphabetical Item List
IPIP_FULL_0055,Am a bad loser.,H763,['H763'],H763,IPIP Alphabetical Item List
IPIP_FULL_0056,Am a bitter person.,T58,['T58'],T58,IPIP Alphabetical Item List
IPIP_FULL_0057,Am a brave person.,V341,['V341'],V341,IPIP Alphabetical Item List
IPIP_FULL_0058,Am a bully.,T59,['T59'],T59,IPIP Alphabetical Item List
IPIP_FULL_0059,Am a chronic liar.,T61,['T61'],T61,IPIP Alphabetical Item List
IPIP_FULL_0060,Am a cold-hearted person.,T63,['T63'],T63,IPIP Alphabetical Item List
IPIP_FULL_0061,Am a corrupt person.,T64,['T64'],T64,IPIP Alphabetical Item List
IPIP_FULL_0062,Am a cranky person.,T65,['T65'],T65,IPIP Alphabetical Item List
IPIP_FULL_0063,Am a creature of habit.,H1460,['H1460'],H1460,IPIP Alphabetical Item List
IPIP_FULL_0064,Am a domineering person.,T68,['T68'],T68,IPIP Alphabetical Item List
IPIP_FULL_0065,Am a firm believer in thinking things through.,V223,['V223'],V223,IPIP Alphabetical Item List
IPIP_FULL_0066,Am a flamboyant person.,T71,['T71'],T71,IPIP Alphabetical Item List
IPIP_FULL_0067,Am a generally obedient person.,T73,['T73'],T73,IPIP Alphabetical Item List
IPIP_FULL_0068,"Am a ""glass is half empty"" kind of person",T54,['T54'],T54,IPIP Alphabetical Item List
IPIP_FULL_0069,Am a goal-oriented person.,V108,['V108'],V108,IPIP Alphabetical Item List
IPIP_FULL_0070,Am a good judge of character.,E117,['E117'],E117,IPIP Alphabetical Item List
IPIP_FULL_0071,Am a good listener.,V95,['V95'],V95,IPIP Alphabetical Item List
IPIP_FULL_0072,Am a good loser.,H50,['H50'],H50,IPIP Alphabetical Item List
IPIP_FULL_0073,Am a guilty person.,T76,['T76'],T76,IPIP Alphabetical Item List
IPIP_FULL_0074,Am a hard person to read.,T77,['T77'],T77,IPIP Alphabetical Item List
IPIP_FULL_0075,Am a hard worker.,V161,['V161'],V161,IPIP Alphabetical Item List
IPIP_FULL_0076,Am a highly disciplined person.,V98,['V98'],V98,IPIP Alphabetical Item List
IPIP_FULL_0077,Am a jealous person.,T80,['T80'],T80,IPIP Alphabetical Item List
IPIP_FULL_0078,Am a large-sized person.,Q34,['Q34'],Q34,IPIP Alphabetical Item List
IPIP_FULL_0079,Am a law-abiding citizen.,T81,['T81'],T81,IPIP Alphabetical Item List
IPIP_FULL_0080,Am a lonely person.,T83,['T83'],T83,IPIP Alphabetical Item List
IPIP_FULL_0081,Am a manipulative person.,T84,['T84'],T84,IPIP Alphabetical Item List
IPIP_FULL_0082,Am a mean-spirited person.,T85,['T85'],T85,IPIP Alphabetical Item List
IPIP_FULL_0083,Am a money-grubber.,M57,['M57'],M57,IPIP Alphabetical Item List
IPIP_FULL_0084,Am a naturally good dancer.,Q196,['Q196'],Q196,IPIP Alphabetical Item List
IPIP_FULL_0085,Am a neat freak.,T55,['T55'],T55,IPIP Alphabetical Item List
IPIP_FULL_0086,Am a negative type of person.,T86,['T86'],T86,IPIP Alphabetical Item List
IPIP_FULL_0087,"Am a ""people person.""",T56,['T56'],T56,IPIP Alphabetical Item List
IPIP_FULL_0088,Am a perfectionist.,T88,['T88'],T88,IPIP Alphabetical Item List
IPIP_FULL_0089,Am a person whose moods go up and down easily.,R1,['R1'],R1,IPIP Alphabetical Item List
IPIP_FULL_0090,Am a pessimistic person.,T90,['T90'],T90,IPIP Alphabetical Item List
IPIP_FULL_0091,Am a physical coward.,R44,['R44'],R44,IPIP Alphabetical Item List
IPIP_FULL_0092,Am a rebel.,T92,['T92'],T92,IPIP Alphabetical Item List
IPIP_FULL_0093,Am a sadistic person.,T93,['T93'],T93,IPIP Alphabetical Item List
IPIP_FULL_0094,Am a seductive person.,T94,['T94'],T94,IPIP Alphabetical Item List
IPIP_FULL_0095,Am a shy person,S25,['S25'],S25,IPIP Alphabetical Item List
IPIP_FULL_0096,Am a small-sized person.,Q92,['Q92'],Q92,IPIP Alphabetical Item List
IPIP_FULL_0097,Am a spiritual person.,V46,['V46'],V46,IPIP Alphabetical Item List
IPIP_FULL_0098,Am a strange person.,T99,['T99'],T99,IPIP Alphabetical Item List
IPIP_FULL_0099,Am a submissive person.,T100,['T100'],T100,IPIP Alphabetical Item List
IPIP_FULL_0100,Am a true life-long learner.,V140,['V140'],V140,IPIP Alphabetical Item List
IPIP_FULL_0101,Am a very good scam artist.,T101,['T101'],T101,IPIP Alphabetical Item List
IPIP_FULL_0102,Am a very private person.,H589,['H589'],H589,IPIP Alphabetical Item List
IPIP_FULL_0103,Am a very reliable person.,T103,['T103'],T103,IPIP Alphabetical Item List
IPIP_FULL_0104,Am a vindictive person.,T104,['T104'],T104,IPIP Alphabetical Item List
IPIP_FULL_0105,"Am a workaholic, with little time for fun or pleasure.",V83,['V83'],V83,IPIP Alphabetical Item List
IPIP_FULL_0106,Am able to calm myself down quite quickly when upset.,W316,['W316'],W316 *,IPIP Alphabetical Item List
IPIP_FULL_0107,Am able to come up with new and different ideas.,V5,['V5'],V5,IPIP Alphabetical Item List
IPIP_FULL_0108,Am able to control my cravings.,X251,['X251'],X251,IPIP Alphabetical Item List
IPIP_FULL_0109,Am able to cooperate with others.,H1165,['H1165'],H1165,IPIP Alphabetical Item List
IPIP_FULL_0110,Am able to describe my feelings easily.,A58,['A58'],A58,IPIP Alphabetical Item List
IPIP_FULL_0111,Am able to disregard rules.,D5,['D5'],D5,IPIP Alphabetical Item List
IPIP_FULL_0112,Am able to do most things well enough.,R80,['R80'],R80,IPIP Alphabetical Item List
IPIP_FULL_0113,"Am able to do what I should do, even when I feel scared.",W365,['W365'],W365,IPIP Alphabetical Item List
IPIP_FULL_0114,Am able to find out things by myself.,H1317,['H1317'],H1317,IPIP Alphabetical Item List
IPIP_FULL_0115,Am able to fit into any situation.,V80,['V80'],V80,IPIP Alphabetical Item List
IPIP_FULL_0116,Am able to fix electrical-wiring problems.,M68,['M68'],M68,IPIP Alphabetical Item List
IPIP_FULL_0117,Am able to get other people to act in a certain way.,W219,['W219'],W219,IPIP Alphabetical Item List
IPIP_FULL_0118,Am able to get over it quickly when someone hurts my feelings.,W92,['W92'],W92*,IPIP Alphabetical Item List
IPIP_FULL_0119,Am able to pick myself up when I'm down.,T110,['T110'],T110,IPIP Alphabetical Item List
IPIP_FULL_0120,Am able to read the minds of others.,T111,['T111'],T111,IPIP Alphabetical Item List
IPIP_FULL_0121,Am able to see how other peoples' emotions can affect their behaviors.,W333,['W333'],W333,IPIP Alphabetical Item List
IPIP_FULL_0122,"Am able to see the ""big picture.""",W281,['W281'],W281,IPIP Alphabetical Item List
IPIP_FULL_0123,Am able to see the best in a situation.,H49,['H49'],H49,IPIP Alphabetical Item List
IPIP_FULL_0124,Am able to stand up for myself.,H1197,['H1197'],H1197,IPIP Alphabetical Item List
IPIP_FULL_0125,Am able to understand how other people see problems.,W283,['W283'],W283,IPIP Alphabetical Item List
IPIP_FULL_0126,Am able to work hard to achieve results that I will only get at a time far in the future.,W156,['W156'],W156,IPIP Alphabetical Item List
IPIP_FULL_0127,Am able to work hard to solve problems even when it takes a long time.,W155,['W155'],W155,IPIP Alphabetical Item List
IPIP_FULL_0128,Am afraid of being left alone.,V150,['V150'],V150,IPIP Alphabetical Item List
IPIP_FULL_0129,Am afraid of heights.,R38,['R38'],R38,IPIP Alphabetical Item List
IPIP_FULL_0130,Am afraid of large dogs.,R28,['R28'],R28,IPIP Alphabetical Item List
IPIP_FULL_0131,Am afraid of losing control of my anger.,V322,['V322'],V322,IPIP Alphabetical Item List
IPIP_FULL_0132,Am afraid of many things.,H968,['H968'],H968,IPIP Alphabetical Item List
IPIP_FULL_0133,Am afraid of more things than others are.,S28,['S28'],S28,IPIP Alphabetical Item List
IPIP_FULL_0134,Am afraid that I will do the wrong thing.,H905,['H905'],H905,IPIP Alphabetical Item List
IPIP_FULL_0135,Am afraid that my life will be cut short by illness.,C18,['C18'],C18,IPIP Alphabetical Item List
IPIP_FULL_0136,Am afraid to draw attention to myself.,H655,['H655'],H655,IPIP Alphabetical Item List
IPIP_FULL_0137,Am afraid to reach out for love.,V112,['V112'],V112,IPIP Alphabetical Item List
IPIP_FULL_0138,Am always aware of how I am presenting myself.,P340,['P340'],P340,IPIP Alphabetical Item List
IPIP_FULL_0139,Am always busy with something interesting.,V67,['V67'],V67,IPIP Alphabetical Item List
IPIP_FULL_0140,Am always busy.,H58,['H58'],H58,IPIP Alphabetical Item List
IPIP_FULL_0141,Am always in the same mood.,H568,['H568'],H568,IPIP Alphabetical Item List
IPIP_FULL_0142,Am always joking.,Q21,['Q21'],Q21,IPIP Alphabetical Item List
IPIP_FULL_0143,Am always looking for a rush of excitement.,T129,['T129'],T129,IPIP Alphabetical Item List
IPIP_FULL_0144,Am always on the go.,H54,"['H54', 'X40']","H54, X40",IPIP Alphabetical Item List
IPIP_FULL_0145,Am always on time.,X76,['X76'],X76,IPIP Alphabetical Item List
IPIP_FULL_0146,Am always prepared.,X87,['X87'],X87,IPIP Alphabetical Item List
IPIP_FULL_0147,Am always ready to start afresh.,H440,['H440'],H440,IPIP Alphabetical Item List
IPIP_FULL_0148,Am always worried about something.,D96,['D96'],D96,IPIP Alphabetical Item List
IPIP_FULL_0149,Am always worried that my partner is going to leave me.,T137,['T137'],T137,IPIP Alphabetical Item List
IPIP_FULL_0150,Am an energetic person.,T140,['T140'],T140,IPIP Alphabetical Item List
IPIP_FULL_0151,Am an eternal pessimist.,T141,['T141'],T141,IPIP Alphabetical Item List
IPIP_FULL_0152,Am an extraordinary person.,P482,['P482'],P482,IPIP Alphabetical Item List
IPIP_FULL_0153,Am an extremely grateful person.,V175,['V175'],V175,IPIP Alphabetical Item List
IPIP_FULL_0154,Am an extremely loyal person.,V92,['V92'],V92,IPIP Alphabetical Item List
IPIP_FULL_0155,Am an honest person.,T144,['T144'],T144,IPIP Alphabetical Item List
IPIP_FULL_0156,Am an ordinary person with ordinary skills and abilities.,W250,['W250'],W250,IPIP Alphabetical Item List
IPIP_FULL_0157,Am an original thinker.,V226,['V226'],V226,IPIP Alphabetical Item List
IPIP_FULL_0158,Am angry or distressed when my partner pays more attention to someone else.,T147,['T147'],T147,IPIP Alphabetical Item List
IPIP_FULL_0159,Am annoyed by others' mistakes.,E82,['E82'],E82,IPIP Alphabetical Item List
IPIP_FULL_0160,Am apprehensive about new encounters.,H651,['H651'],H651,IPIP Alphabetical Item List
IPIP_FULL_0161,"Am approached often by people who want help, advice, or guidance with their problems.",W188,['W188'],W188,IPIP Alphabetical Item List
IPIP_FULL_0162,Am ashamed of myself.,T151,['T151'],T151,IPIP Alphabetical Item List
IPIP_FULL_0163,Am asked for advice by friends and family.,W279,['W279'],W279,IPIP Alphabetical Item List
IPIP_FULL_0164,Am asked for favors by my friends and family.,W207,['W207'],W207,IPIP Alphabetical Item List
IPIP_FULL_0165,Am attached to conventional ways.,H312,['H312'],H312,IPIP Alphabetical Item List
IPIP_FULL_0166,Am aware of how my feelings are affecting other people.,W331,['W331'],W331,IPIP Alphabetical Item List
IPIP_FULL_0167,Am aware of my feelings.,W332,['W332'],W332,IPIP Alphabetical Item List
IPIP_FULL_0168,Am basically a decent person.,R49,['R49'],R49,IPIP Alphabetical Item List
IPIP_FULL_0169,Am bothered by frequent aches and pains.,C2,['C2'],C2,IPIP Alphabetical Item List
IPIP_FULL_0170,Am calm even in tense situations.,E64,['E64'],E64,IPIP Alphabetical Item List
IPIP_FULL_0171,Am capable of working alone.,H406,['H406'],H406,IPIP Alphabetical Item List
IPIP_FULL_0172,Am careful to avoid making mistakes.,E16,['E16'],E16,IPIP Alphabetical Item List
IPIP_FULL_0173,Am careful to consider how things I do now will affect future outcomes.,W296,['W296'],W296,IPIP Alphabetical Item List
IPIP_FULL_0174,Am certain that I am being talked about.,T157,['T157'],T157,IPIP Alphabetical Item List
IPIP_FULL_0175,Am chubby.,Q123,['Q123'],Q123,IPIP Alphabetical Item List
IPIP_FULL_0176,Am comfortable in unfamiliar situations.,X197,['X197'],X197,IPIP Alphabetical Item List
IPIP_FULL_0177,Am committed to principles of justice and equality.,V202,['V202'],V202,IPIP Alphabetical Item List
IPIP_FULL_0178,Am concerned about others.,H1100,"['H1100', 'X31']","H1100, X31",IPIP Alphabetical Item List
IPIP_FULL_0179,"Am considered a ""yes"" person.",T161,['T161'],T161,IPIP Alphabetical Item List
IPIP_FULL_0180,Am considered attractive by others.,P425,['P425'],P425,IPIP Alphabetical Item List
IPIP_FULL_0181,Am considered by others to be weird.,T163,['T163'],T163,IPIP Alphabetical Item List
IPIP_FULL_0182,Am considered fun to be with.,W138,['W138'],W138*,IPIP Alphabetical Item List
IPIP_FULL_0183,Am considered short.,Q180,['Q180'],Q180,IPIP Alphabetical Item List
IPIP_FULL_0184,Am considered tall.,Q156,['Q156'],Q156,IPIP Alphabetical Item List
IPIP_FULL_0185,Am considered to be a wise person.,V339,['V339'],V339,IPIP Alphabetical Item List
IPIP_FULL_0186,Am considered to be kind of eccentric.,R35,['R35'],R35,IPIP Alphabetical Item List
IPIP_FULL_0187,Am considered well-off financially.,Q39,['Q39'],Q39,IPIP Alphabetical Item List
IPIP_FULL_0188,Am constantly reflecting about myself.,P395,['P395'],P395,IPIP Alphabetical Item List
IPIP_FULL_0189,Am content with my life.,V324,['V324'],V324,IPIP Alphabetical Item List
IPIP_FULL_0190,Am continually losing things.,E158,['E158'],E158,IPIP Alphabetical Item List
IPIP_FULL_0191,Am convinced my doctor is lying to me.,T171,['T171'],T171,IPIP Alphabetical Item List
IPIP_FULL_0192,Am convinced that I am dying.,T172,['T172'],T172,IPIP Alphabetical Item List
IPIP_FULL_0193,Am convinced that my way is the best way.,T173,['T173'],T173,IPIP Alphabetical Item List
IPIP_FULL_0194,Am curious about how various kinds of trees differ from each other.,M51,['M51'],M51,IPIP Alphabetical Item List
IPIP_FULL_0195,Am deeply moved by others' misfortunes.,X253,['X253'],X253,IPIP Alphabetical Item List
IPIP_FULL_0196,Am dependent on others for things that I should be able to do myself.,V51,['V51'],V51,IPIP Alphabetical Item List
IPIP_FULL_0197,Am described as grumpy.,V32,['V32'],V32,IPIP Alphabetical Item List
IPIP_FULL_0198,Am described by friends and family as a disciplined person.,W317,['W317'],W317*,IPIP Alphabetical Item List
IPIP_FULL_0199,"Am described by others as a good ""team-player.""",W48,['W48'],W48*,IPIP Alphabetical Item List
IPIP_FULL_0200,Am determined to finish a task when I start it.,T178,['T178'],T178,IPIP Alphabetical Item List
IPIP_FULL_0201,Am devoted to religion.,P479,['P479'],P479,IPIP Alphabetical Item List
IPIP_FULL_0202,Am different compared to most people.,T180,['T180'],T180,IPIP Alphabetical Item List
IPIP_FULL_0203,Am eager to soothe hurt feelings.,Q117,['Q117'],Q117,IPIP Alphabetical Item List
IPIP_FULL_0204,Am easily annoyed.,Q210,['Q210'],Q210,IPIP Alphabetical Item List
IPIP_FULL_0205,Am easily calmed down by others.,H997,['H997'],H997,IPIP Alphabetical Item List
IPIP_FULL_0206,Am easily confused.,H2001,['H2001'],H2001,IPIP Alphabetical Item List
IPIP_FULL_0207,Am easily controlled by others in my life.,T185,['T185'],T185,IPIP Alphabetical Item List
IPIP_FULL_0208,Am easily deterred.,H911,['H911'],H911,IPIP Alphabetical Item List
IPIP_FULL_0209,Am easily discouraged in difficult situations.,S21,['S21'],S21,IPIP Alphabetical Item List
IPIP_FULL_0210,Am easily discouraged.,H647,['H647'],H647,IPIP Alphabetical Item List
IPIP_FULL_0211,Am easily disoriented.,T189,['T189'],T189,IPIP Alphabetical Item List
IPIP_FULL_0212,Am easily distracted when I'm trying to focus my attention.,D17,['D17'],D17,IPIP Alphabetical Item List
IPIP_FULL_0213,Am easily distracted.,H843,"['H843', 'F44', 'T192']","H843, F44, T192",IPIP Alphabetical Item List
IPIP_FULL_0214,Am easily disturbed.,H927,"['H927', 'X213']","H927, X213",IPIP Alphabetical Item List
IPIP_FULL_0215,Am easily excited.,E19,['E19'],E19,IPIP Alphabetical Item List
IPIP_FULL_0216,Am easily frightened.,H945,['H945'],H945,IPIP Alphabetical Item List
IPIP_FULL_0217,Am easily frustrated.,T196,['T196'],T196,IPIP Alphabetical Item List
IPIP_FULL_0218,Am easily hurt.,H987,['H987'],H987,IPIP Alphabetical Item List
IPIP_FULL_0219,Am easily impressed.,H996,['H996'],H996,IPIP Alphabetical Item List
IPIP_FULL_0220,Am easily influenced.,Q225,['Q225'],Q225,IPIP Alphabetical Item List
IPIP_FULL_0221,Am easily intimidated.,H991,"['H991', 'X41']","H991, X41",IPIP Alphabetical Item List
IPIP_FULL_0222,Am easily moved to tears.,H992,['H992'],H992,IPIP Alphabetical Item List
IPIP_FULL_0223,Am easily offended.,H762,['H762'],H762,IPIP Alphabetical Item List
IPIP_FULL_0224,Am easily overpowered when decisions need to be made.,T202,['T202'],T202,IPIP Alphabetical Item List
IPIP_FULL_0225,Am easily put out.,H641,['H641'],H641,IPIP Alphabetical Item List
IPIP_FULL_0226,Am easily startled.,T204,['T204'],T204,IPIP Alphabetical Item List
IPIP_FULL_0227,Am easily talked into doing silly things.,E15,['E15'],E15,IPIP Alphabetical Item List
IPIP_FULL_0228,Am easy to fool.,H108,['H108'],H108,IPIP Alphabetical Item List
IPIP_FULL_0229,Am easy to persuade.,H1424,['H1424'],H1424,IPIP Alphabetical Item List
IPIP_FULL_0230,Am easy to satisfy.,H882,['H882'],H882,IPIP Alphabetical Item List
IPIP_FULL_0231,Am embarrassed by praise.,X53,['X53'],X53,IPIP Alphabetical Item List
IPIP_FULL_0232,Am embarrassed to have people see my home.,E162,['E162'],E162,IPIP Alphabetical Item List
IPIP_FULL_0233,Am emotionally reserved.,T209,['T209'],T209,IPIP Alphabetical Item List
IPIP_FULL_0234,Am entitled to the best.,T210,['T210'],T210,IPIP Alphabetical Item List
IPIP_FULL_0235,Am exacting in my work.,X163,['X163'],X163,IPIP Alphabetical Item List
IPIP_FULL_0236,Am excited by many different activities.,V151,['V151'],V151,IPIP Alphabetical Item List
IPIP_FULL_0237,Am excited to inflict pain on others.,T214,['T214'],T214,IPIP Alphabetical Item List
IPIP_FULL_0238,Am faithful to old friends.,E10,['E10'],E10,IPIP Alphabetical Item List
IPIP_FULL_0239,Am fascinated by how machines work.,M38,['M38'],M38,IPIP Alphabetical Item List
IPIP_FULL_0240,Am fascinated by numbers.,M71,['M71'],M71,IPIP Alphabetical Item List
IPIP_FULL_0241,Am filled with doubts about things.,H683,['H683'],H683,IPIP Alphabetical Item List
IPIP_FULL_0242,Am forceful in relationships with friends and family.,T218,['T218'],T218,IPIP Alphabetical Item List
IPIP_FULL_0243,Am free of prejudice.,Q205,['Q205'],Q205,IPIP Alphabetical Item List
IPIP_FULL_0244,Am full of ideas.,H53,['H53'],H53,IPIP Alphabetical Item List
IPIP_FULL_0245,Am generally a fearful person.,T219,['T219'],T219,IPIP Alphabetical Item List
IPIP_FULL_0246,Am generally fearful of bad things that could happen.,T220,['T220'],T220,IPIP Alphabetical Item List
IPIP_FULL_0247,Am good at analyzing problems.,H1207,['H1207'],H1207,IPIP Alphabetical Item List
IPIP_FULL_0248,Am good at getting people to do what I want.,Q90,['Q90'],Q90,IPIP Alphabetical Item List
IPIP_FULL_0249,Am good at helping people work well together.,V96,['V96'],V96,IPIP Alphabetical Item List
IPIP_FULL_0250,Am good at making excuses for my bad behavior.,T225,['T225'],T225,IPIP Alphabetical Item List
IPIP_FULL_0251,Am good at making impromptu speeches.,P364,['P364'],P364,IPIP Alphabetical Item List
IPIP_FULL_0252,Am good at making jokes.,W140,['W140'],W140,IPIP Alphabetical Item List
IPIP_FULL_0253,Am good at making people laugh.,W142,['W142'],W142,IPIP Alphabetical Item List
IPIP_FULL_0254,Am good at many things.,H1246,['H1246'],H1246,IPIP Alphabetical Item List
IPIP_FULL_0255,Am good at motivating myself to work hard.,W159,['W159'],W159,IPIP Alphabetical Item List
IPIP_FULL_0256,Am good at reading people's intentions from their faces.,M11,['M11'],M11,IPIP Alphabetical Item List
IPIP_FULL_0257,Am good at saving money.,Q223,['Q223'],Q223,IPIP Alphabetical Item List
IPIP_FULL_0258,Am good at seducing others.,T228,['T228'],T228,IPIP Alphabetical Item List
IPIP_FULL_0259,Am good at sensing what others are feeling.,V225,['V225'],V225,IPIP Alphabetical Item List
IPIP_FULL_0260,Am good at setting goals for the future.,W300,['W300'],W300,IPIP Alphabetical Item List
IPIP_FULL_0261,Am good at taking advice.,H1068,['H1068'],H1068,IPIP Alphabetical Item List
IPIP_FULL_0262,Am good at thinking of solutions that no one else thinks of.,W267,['W267'],W267*,IPIP Alphabetical Item List
IPIP_FULL_0263,Am good at understanding others' feelings.,V218,['V218'],V218,IPIP Alphabetical Item List
IPIP_FULL_0264,Am good at using people's weak points to my advantage.,T231,['T231'],T231,IPIP Alphabetical Item List
IPIP_FULL_0265,Am guided by my intuitions.,H1368,['H1368'],H1368,IPIP Alphabetical Item List
IPIP_FULL_0266,Am guided by my moods.,H941,['H941'],H941,IPIP Alphabetical Item List
IPIP_FULL_0267,Am guided by superstitions.,H1464,['H1464'],H1464,IPIP Alphabetical Item List
IPIP_FULL_0268,Am happy doing mindless work.,E106,['E106'],E106,IPIP Alphabetical Item List
IPIP_FULL_0269,Am happy with my life.,V185,['V185'],V185,IPIP Alphabetical Item List
IPIP_FULL_0270,Am hard to convince.,H687,['H687'],H687,IPIP Alphabetical Item List
IPIP_FULL_0271,Am hard to get to know.,H596,"['H596', 'X9']","H596, X9",IPIP Alphabetical Item List
IPIP_FULL_0272,Am hard to reason with.,H1376,['H1376'],H1376,IPIP Alphabetical Item List
IPIP_FULL_0273,Am hard to satisfy.,H277,['H277'],H277,IPIP Alphabetical Item List
IPIP_FULL_0274,Am hard to understand.,H686,"['H686', 'V235']","H686, V235",IPIP Alphabetical Item List
IPIP_FULL_0275,Am humble about the good things that have happened to me.,V31,['V31'],V31,IPIP Alphabetical Item List
IPIP_FULL_0276,Am in awe of simple things in life that others might take for granted.,V278,['V278'],V278,IPIP Alphabetical Item List
IPIP_FULL_0277,Am in good physical condition.,Q89,['Q89'],Q89,IPIP Alphabetical Item List
IPIP_FULL_0278,Am inadequate.,T241,['T241'],T241,IPIP Alphabetical Item List
IPIP_FULL_0279,Am inclined to forgive others.,H137,['H137'],H137,IPIP Alphabetical Item List
